Nama_Produk,Lokasi,Total_Review,Harga,Benefit
Vasa Hotel Surabaya,"Sukomanunggal, Surabaya, Jawa Timur",(2.155 Review),IDR 1.450.000,
Premier Place Surabaya Airport,"Juanda, Surabaya, Jawa Timur",(618 Review),IDR 599.000,
Sahid Surabaya,"Genteng, Surabaya, Jawa Timur",(650 Review),IDR 380.000,
HARRIS Hotel & Conventions Gubeng,"Gubeng, Surabaya, Jawa Timur",(1.571 Review),IDR 608.800,
Bess Mansion Hotel,"Wonocolo, Surabaya, Jawa Timur",(3.268 Review),IDR 606.100,Hemat 5%
Bisanta Bidakara Surabaya,"Tegalsari, Surabaya, Jawa Timur",(412 Review),IDR 354.000,Hotel Budget
Goldvitel Hotel Surabaya,"Genteng, Surabaya, Jawa Timur",(1.122 Review),IDR 487.179,
G Suites Hotel By AMITHYA,"Gubeng, Surabaya, Jawa Timur",(2.206 Review),IDR 507.000,Hemat 61%
Narita Hotel Surabaya,"Gubeng, Surabaya, Jawa Timur",(421 Review),IDR 511.196,Nginep Hemat
MaxoneHotels at Dharmahusada Surabaya,"Gubeng, Surabaya, Jawa Timur",(1.667 Review),IDR 435.000,
Oakwood Hotel & Residence Surabaya,"Mulyorejo, Surabaya, Jawa Timur",(967 Review),IDR 1.110.001,
The Life Styles Hotel City Center Surabaya,"Genteng, Surabaya, Jawa Timur",(3.714 Review),IDR 419.999,
Platinum Hotel Tunjungan Surabaya,"Genteng, Surabaya, Jawa Timur",(1.121 Review),IDR 878.678,
Hotel Ciputra World Surabaya managed by Swiss-Belhotel International,"Dukuh Pakis, Surabaya, Jawa Timur",(937 Review),IDR 1.000.000,
Mutiara Timor Hotel,"Gubeng, Surabaya, Jawa Timur",(88 Review),IDR 195.000,
JW Marriott Hotel Surabaya,"Embong Malang, Surabaya, Jawa Timur",(1.222 Review),IDR 1.512.500,
MaxOneHotels at Tidar Surabaya,"Sawahan, Surabaya, Jawa Timur",(1.468 Review),IDR 410.000,
Bumi Surabaya City Resort,"Genteng, Surabaya, Jawa Timur",(1.576 Review),IDR 1.263.575,
Country Heritage Resort Surabaya,"Sukolilo, Surabaya, Jawa Timur",(947 Review),IDR 221.950,
Surabaya River View Hotel,"Genteng, Surabaya, Jawa Timur",(147 Review),IDR 478.380,Early Bird 49%
Prime Royal Hotel Surabaya,"Sawahan, Surabaya, Jawa Timur",(2.612 Review),IDR 319.999,
Quest Hotel Darmo - Surabaya by ASTON,"Tegalsari, Surabaya, Jawa Timur",(2.087 Review),IDR 562.500,
Horison Arcadia Surabaya,"Krembangan, Surabaya, Jawa Timur",(690 Review),IDR 335.000,
Swiss-Belinn Tunjungan Surabaya,"Genteng, Surabaya, Jawa Timur",(1.077 Review),IDR 685.000,
Yello Hotel Jemursari,"Tenggilis Mejoyo, Surabaya, Jawa Timur",(1.498 Review),IDR 452.999,Hotel Pilihan
POP! Hotel Diponegoro Surabaya,"Wonokromo, Surabaya, Jawa Timur",(1.232 Review),IDR 358.000,
Evora Hotel Surabaya,"Gubeng, Surabaya, Jawa Timur",(212 Review),IDR 279.000,Nginep Hemat
Tunjungan Hotel Surabaya,"Tegalsari, Surabaya, Jawa Timur",(1.241 Review),IDR 885.000,Hemat 25%
ASTON Inn Jemursari,"Wonocolo, Surabaya, Jawa Timur",(2.104 Review),IDR 492.500,
KHAS Surabaya Hotel,"Pabean Cantian, Surabaya, Jawa Timur",(586 Review),IDR 464.900,Nginep Hemat
